section,object_name,detail_type,details
S2_columns,study_visuals.model,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""study_visuals"",""column_name"":""model"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'gpt-4o-mini'::text"",""ordinal_position"":5,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,study_visuals.user_id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""study_visuals"",""column_name"":""user_id"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":3,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,study_visuals.visuals,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""study_visuals"",""column_name"":""visuals"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":4,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S20_storage_objects_rls,storage.objects,storage_rls,"{""rls_forced"":false,""table_name"":""objects"",""rls_enabled"":true,""table_owner"":""supabase_storage_admin""}"
S21_job_requests_exists,generation_job_requests,existence,"{""message"":""NO  — table does not exist; migration will CREATE it"",""present"":false}"
S22_pg_constraints,document_analysis.document_analysis_document_id_fkey,pg_constraint,"{""table_name"":""document_analysis"",""condeferred"":false,""condeferrable"":false,""constraint_name"":""document_analysis_document_id_fkey"",""constraint_type"":""f"",""constraint_definition"":""FOREIGN KEY (document_id) REFERENCES documents(id) ON DELETE CASCADE""}"
S22_pg_constraints,document_analysis.document_analysis_pkey,pg_constraint,"{""table_name"":""document_analysis"",""condeferred"":false,""condeferrable"":false,""constraint_name"":""document_analysis_pkey"",""constraint_type"":""p"",""constraint_definition"":""PRIMARY KEY (id)""}"
S22_pg_constraints,document_analysis.document_analysis_user_id_fkey,pg_constraint,"{""table_name"":""document_analysis"",""condeferred"":false,""condeferrable"":false,""constraint_name"":""document_analysis_user_id_fkey"",""constraint_type"":""f"",""constraint_definition"":""FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE""}"
S22_pg_constraints,documents.documents_pkey,pg_constraint,"{""table_name"":""documents"",""condeferred"":false,""condeferrable"":false,""constraint_name"":""documents_pkey"",""constraint_type"":""p"",""constraint_definition"":""PRIMARY KEY (id)""}"
S22_pg_constraints,documents.documents_source_recording_id_fkey,pg_constraint,"{""table_name"":""documents"",""condeferred"":false,""condeferrable"":false,""constraint_name"":""documents_source_recording_id_fkey"",""constraint_type"":""f"",""constraint_definition"":""FOREIGN KEY (source_recording_id) REFERENCES recordings(id) ON DELETE SET NULL""}"
